扰动组,取值,指标,数值,单位,扰动口径,备注
库存阈值·逐类各加m件,"K=2, m=0",库存可行分区数,0.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 2047 个分区中
库存阈值·逐类各加m件,"K=2, m=1",库存可行分区数,25.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 2047 个分区中
库存阈值·逐类各加m件,"K=2, m=2",库存可行分区数,1567.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 2047 个分区中
库存阈值·逐类各加m件,"K=2, m=3",库存可行分区数,2047.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 2047 个分区中
库存阈值·按推荐缺口补齐,K=2,库存可行分区数,1.0,个,现库存 + 该 K 下推荐分区自己的总量缺口向量；不含重解,补配向量：B型运输无人机+1、中继无人机+1
库存阈值·逐类补到最小值,K=2,库存可行分区数,0.0,个,逐类各补到「该类在全部分区上的最小需求」；不含重解,八类各自的补配合计仅 0 件，但落不到同一个分区上
库存阈值·最小补配总量,K=2,最小补配件数,2.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,八类求和；补配向量见下
库存阈值·最小补配总量,K=2,补至该向量后的可行分区数,1.0,个,让「最接近可行」的那个分区落地的补配向量；不含重解,补配向量：B型运输无人机+1、中继无人机+1
库存阈值·最小补配总量,K=2,该分区资源规模R,29.0,台,让「最接近可行」的那个分区落地的补配向量；不含重解,最接近可行的那个分区
库存阈值·最小补配总量,K=2,该分区工作量均衡CV_W,0.7543869234167287,—,让「最接近可行」的那个分区落地的补配向量；不含重解,最接近可行的那个分区
库存阈值·最小补配总量,K=2,补配_A型运输无人机,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,补配_B型运输无人机,1.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,补配_C型运输无人机,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,补配_A型共享电池,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,补配_B型共享电池,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,补配_C型共享电池,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,补配_中继无人机,1.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,补配_中继能源组件,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=29、CV_W=0.7544
库存阈值·最小补配总量,K=2,逐类最小补配之和（对照）,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,逐类看都不缺；与上一行之差即联合约束的代价
库存阈值·逐类各加m件,"K=3, m=0",库存可行分区数,0.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 86526 个分区中
库存阈值·逐类各加m件,"K=3, m=1",库存可行分区数,0.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 86526 个分区中
库存阈值·逐类各加m件,"K=3, m=2",库存可行分区数,1079.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 86526 个分区中
库存阈值·逐类各加m件,"K=3, m=3",库存可行分区数,34436.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 86526 个分区中
库存阈值·逐类各加m件,"K=3, m=4",库存可行分区数,84339.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 86526 个分区中
库存阈值·逐类各加m件,"K=3, m=5",库存可行分区数,86526.0,个,现库存逐类各加 m 件后，重数全部 K 组分区中总量口径可行者；不含重解,全部 86526 个分区中
库存阈值·按推荐缺口补齐,K=3,库存可行分区数,1.0,个,现库存 + 该 K 下推荐分区自己的总量缺口向量；不含重解,补配向量：A型运输无人机+1、B型运输无人机+1、A型共享电池+1、中继无人机+2
库存阈值·逐类补到最小值,K=3,库存可行分区数,0.0,个,逐类各补到「该类在全部分区上的最小需求」；不含重解,八类各自的补配合计仅 0 件，但落不到同一个分区上
库存阈值·最小补配总量,K=3,最小补配件数,5.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,八类求和；补配向量见下
库存阈值·最小补配总量,K=3,补至该向量后的可行分区数,5.0,个,让「最接近可行」的那个分区落地的补配向量；不含重解,补配向量：B型运输无人机+2、B型共享电池+1、中继无人机+2
库存阈值·最小补配总量,K=3,该分区资源规模R,33.0,台,让「最接近可行」的那个分区落地的补配向量；不含重解,最接近可行的那个分区
库存阈值·最小补配总量,K=3,该分区工作量均衡CV_W,0.9266863729560422,—,让「最接近可行」的那个分区落地的补配向量；不含重解,最接近可行的那个分区
库存阈值·最小补配总量,K=3,补配_A型运输无人机,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,补配_B型运输无人机,2.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,补配_C型运输无人机,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,补配_A型共享电池,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,补配_B型共享电池,1.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,补配_C型共享电池,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,补配_中继无人机,2.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,补配_中继能源组件,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,该分区 R=33、CV_W=0.9267
库存阈值·最小补配总量,K=3,逐类最小补配之和（对照）,0.0,件,让「最接近可行」的那个分区落地的补配向量；不含重解,逐类看都不缺；与上一行之差即联合约束的代价
